program,model,filter,plus,minus,AD,AD train,AD test,best train,predicted,best test,fold,dwc
FFmpeg,m,0.00,x,x,0.174,0.173,0.174,0.182,0.183,0.204,2,2129
FFmpeg,m,0.00,x,x,0.174,0.177,0.158,0.186,0.161,0.179,3,2112
FFmpeg,m,0.00,x,x,0.174,0.170,0.187,0.181,0.196,0.201,4,2105
LibPNG,m,0.00,x,x,0.240,0.210,0.345,0.234,0.413,0.413,0,328
LibPNG,m,0.00,x,x,0.240,0.257,0.165,0.283,0.230,0.230,1,324
LibPNG,m,0.00,x,x,0.240,0.226,0.292,0.253,0.315,0.354,2,333
LibPNG,m,0.00,x,x,0.240,0.250,0.200,0.273,0.258,0.258,3,322
LibPNG,m,0.00,x,x,0.240,0.256,0.169,0.290,0.167,0.234,4,327
LibTIFF,m,0.00,x,x,0.418,0.414,0.435,0.444,0.393,0.429,0,423
LibTIFF,m,0.00,x,x,0.418,0.380,0.542,0.408,0.486,0.539,1,443
LibTIFF,m,0.00,x,x,0.418,0.428,0.378,0.447,0.387,0.458,2,439
LibTIFF,m,0.00,x,x,0.418,0.428,0.378,0.461,0.307,0.451,3,425
LibTIFF,m,0.00,x,x,0.418,0.439,0.318,0.457,0.261,0.342,4,438
Pidgin,m,0.00,x,x,0.019,0.019,0.018,0.020,0.016,0.019,0,1866
Pidgin,m,0.00,x,x,0.019,0.021,0.011,0.022,0.012,0.031,1,1896
Pidgin,m,0.00,x,x,0.019,0.021,0.011,0.022,0.008,0.014,2,1887
Pidgin,m,0.00,x,x,0.019,0.016,0.029,0.020,0.010,0.026,3,1875
Pidgin,m,0.00,x,x,0.019,0.017,0.025,0.018,0.018,0.067,4,1906
VLC,m,0.00,x,x,0.064,0.063,0.069,0.079,0.094,0.096,0,1719
VLC,m,0.00,x,x,0.064,0.065,0.061,0.079,0.049,0.079,1,1730
VLC,m,0.00,x,x,0.064,0.069,0.044,0.079,0.058,0.082,2,1752
VLC,m,0.00,x,x,0.064,0.067,0.052,0.080,0.081,0.102,3,1748
VLC,m,0.00,x,x,0.064,0.057,0.094,0.078,0.070,0.107,4,1739
loo,m,0.00,x,x,0.075,0.107,0.024,0.112,0.026,0.052,Asterisk,5497
loo,m,0.00,x,x,0.075,0.050,0.173,0.052,0.193,0.200,FFmpeg,6296
loo,m,0.00,x,x,0.075,0.070,0.240,0.075,0.091,0.305,LibPNG,7467
loo,m,0.00,x,x,0.075,0.093,0.019,0.099,0.020,0.026,Pidgin,6597
loo,m,0.00,x,x,0.075,0.076,0.064,0.079,0.079,0.079,VLC,6492
loo,m,0.00,x,x,0.075,0.063,0.414,0.066,0.352,0.371,LibTIFF,7357
Asterisk,m,0.05,x,x,0.024,0.025,0.017,0.044,0.035,0.066,0,2181
Asterisk,m,0.05,x,x,0.024,0.023,0.027,0.034,0.032,0.088,1,2189
Asterisk,m,0.05,x,x,0.024,0.022,0.031,0.042,0.031,0.066,2,2167
Asterisk,m,0.05,x,x,0.024,0.027,0.010,0.047,0.016,0.018,3,2180
Asterisk,m,0.05,x,x,0.024,0.021,0.034,0.042,0.028,0.044,4,2171
VDISC,m,0.05,0,0,0.280,0.280,0.281,0.276,0.272,0.272,0,85429
VDISC,m,0.05,0,0,0.280,0.280,0.279,0.277,0.271,0.271,1,85435
VDISC,m,0.05,0,0,0.280,0.280,0.280,0.276,0.271,0.271,2,85382
VDISC,m,0.05,0,0,0.280,0.280,0.282,0.276,0.272,0.272,3,85328
VDISC,m,0.05,0,0,0.280,0.281,0.279,0.277,0.269,0.269,4,85339
FFmpeg,m,0.05,x,x,0.174,0.172,0.178,0.199,0.205,0.222,0,1355
FFmpeg,m,0.05,x,x,0.174,0.174,0.170,0.198,0.188,0.209,1,1344
FFmpeg,m,0.05,x,x,0.174,0.173,0.174,0.197,0.196,0.203,2,1365
FFmpeg,m,0.05,x,x,0.174,0.177,0.158,0.202,0.191,0.194,3,1376
FFmpeg,m,0.05,x,x,0.174,0.170,0.187,0.195,0.216,0.214,4,1355
LibPNG,m,0.05,x,x,0.240,0.210,0.345,0.258,0.220,0.410,0,205
LibPNG,m,0.05,x,x,0.240,0.257,0.165,0.300,0.230,0.242,1,197
LibPNG,m,0.05,x,x,0.240,0.226,0.292,0.261,0.324,0.438,2,204
LibPNG,m,0.05,x,x,0.240,0.250,0.200,0.289,0.278,0.281,3,196
LibPNG,m,0.05,x,x,0.240,0.256,0.169,0.303,0.181,0.234,4,200
LibTIFF,m,0.05,x,x,0.418,0.414,0.435,0.468,0.379,0.465,0,279
LibTIFF,m,0.05,x,x,0.418,0.380,0.542,0.430,0.482,0.492,1,291
LibTIFF,m,0.05,x,x,0.418,0.428,0.378,0.473,0.430,0.496,2,282
LibTIFF,m,0.05,x,x,0.418,0.428,0.378,0.462,0.310,0.488,3,272
LibTIFF,m,0.05,x,x,0.418,0.439,0.318,0.480,0.278,0.350,4,285
Pidgin,m,0.05,x,x,0.019,0.019,0.018,0.020,0.000,0.021,0,1299
Pidgin,m,0.05,x,x,0.019,0.021,0.011,0.023,0.010,0.030,1,1313
Pidgin,m,0.05,x,x,0.019,0.021,0.011,0.023,0.000,0.014,2,1314
Pidgin,m,0.05,x,x,0.019,0.016,0.029,0.024,0.011,0.025,3,1301
Pidgin,m,0.05,x,x,0.019,0.017,0.025,0.017,0.029,0.060,4,1329
VLC,m,0.05,x,x,0.064,0.063,0.069,0.101,0.113,0.125,0,1139
VLC,m,0.05,x,x,0.064,0.065,0.061,0.097,0.082,0.091,1,1148
VLC,m,0.05,x,x,0.064,0.069,0.044,0.103,0.042,0.091,2,1169
VLC,m,0.05,x,x,0.064,0.067,0.052,0.099,0.118,0.149,3,1158
VLC,m,0.05,x,x,0.064,0.057,0.094,0.112,0.053,0.136,4,1167
loo,m,0.05,x,x,0.075,0.107,0.024,0.115,0.030,0.054,Asterisk,3577
loo,m,0.05,x,x,0.075,0.050,0.173,0.055,0.210,0.213,FFmpeg,4213
loo,m,0.05,x,x,0.075,0.070,0.240,0.080,0.249,0.305,LibPNG,4940
loo,m,0.05,x,x,0.075,0.093,0.019,0.111,0.017,0.026,Pidgin,4334
loo,m,0.05,x,x,0.075,0.076,0.064,0.085,0.079,0.088,VLC,4311
loo,m,0.05,x,x,0.075,0.063,0.414,0.070,0.369,0.369,LibTIFF,4867
Asterisk,m,0.90,x,x,0.024,0.025,0.017,0.045,0.028,0.038,0,936
Asterisk,m,0.90,x,x,0.024,0.023,0.027,0.046,0.027,0.088,1,954
Asterisk,m,0.90,x,x,0.024,0.022,0.031,0.038,0.064,0.081,2,946
Asterisk,m,0.90,x,x,0.024,0.027,0.010,0.047,0.023,0.030,3,950
Asterisk,m,0.90,x,x,0.024,0.021,0.034,0.040,0.047,0.062,4,942
VDISC,m,0.90,0,0,0.280,0.280,0.281,0.252,0.246,0.246,0,38189
VDISC,m,0.90,0,0,0.280,0.280,0.279,0.252,0.247,0.247,1,38302
VDISC,m,0.90,0,0,0.280,0.280,0.280,0.252,0.245,0.246,2,38190
VDISC,m,0.90,0,0,0.280,0.280,0.282,0.252,0.246,0.246,3,38147
VDISC,m,0.90,0,0,0.280,0.281,0.279,0.252,0.246,0.246,4,38166
FFmpeg,m,0.90,x,x,0.174,0.172,0.178,0.234,0.203,0.227,0,536
FFmpeg,m,0.90,x,x,0.174,0.174,0.170,0.233,0.202,0.219,1,542
FFmpeg,m,0.90,x,x,0.174,0.173,0.174,0.227,0.218,0.247,2,545
FFmpeg,m,0.90,x,x,0.174,0.177,0.158,0.224,0.238,0.258,3,535
FFmpeg,m,0.90,x,x,0.174,0.170,0.187,0.217,0.249,0.271,4,532
LibPNG,m,0.90,x,x,0.240,0.210,0.345,0.287,0.260,0.260,0,84
LibPNG,m,0.90,x,x,0.240,0.257,0.165,0.283,0.283,0.306,1,84
LibPNG,m,0.90,x,x,0.240,0.226,0.292,0.240,0.405,0.469,2,95
LibPNG,m,0.90,x,x,0.240,0.250,0.200,0.272,0.246,0.273,3,84
LibPNG,m,0.90,x,x,0.240,0.256,0.169,0.299,0.100,0.263,4,88
LibTIFF,m,0.90,x,x,0.418,0.414,0.435,0.513,0.391,0.395,0,125
LibTIFF,m,0.90,x,x,0.418,0.380,0.542,0.459,0.514,0.514,1,135
LibTIFF,m,0.90,x,x,0.418,0.428,0.378,0.486,0.487,0.495,2,132
LibTIFF,m,0.90,x,x,0.418,0.428,0.378,0.482,0.583,0.585,3,123
LibTIFF,m,0.90,x,x,0.418,0.439,0.318,0.521,0.269,0.280,4,131
Pidgin,m,0.90,x,x,0.019,0.019,0.018,0.020,0.000,0.019,0,553
Pidgin,m,0.90,x,x,0.019,0.021,0.011,0.021,0.010,0.037,1,573
